looming,mouse_id,Unnamed: 0,enter_times,stayS,total_S,stayM_per_hour,norm_entrT
0,873,0,36,3446.266667,10800,19.14592593,12
0,0E7E,0,4,1260.66,4347.45,17.39861298,3.312286513
0,0F3E,0,6,1562.75,6370.5,14.71862491,3.390628679
0,0F6E,0,8,1102.08,7287.94,9.073181173,3.95173396
0,0F9E,2,9,1079.76,7287.94,8.889425544,4.445700706
0,8033,0,37,4869.866667,10800,27.05481481,12.33333333
0,80C3,0,53,8071.833333,10800,44.84351852,17.66666667
0,8153,0,74,3171.366667,10800,17.6187037,24.66666667
0,81A3,0,44,6332.233333,10800,35.17907407,14.66666667
0,84A3,0,46,4998.833333,10800,27.7712963,15.33333333
0,85C3,0,77,4925.366667,10800,27.36314815,25.66666667
0,8663,0,30,3528.666667,10800,19.6037037,10
0,8693,0,68,4860.833333,10800,27.00462963,22.66666667
0,87F3,0,54,5618.633333,10800,31.21462963,18
0,A5F3,0,45,5566.733333,10800,30.9262963,15
0,A7C3,0,56,7359.8,10800,40.88777778,18.66666667
0,C23E,2,3,443.26,8650.88,3.074323075,1.248427906
0,C5FE,5,11,3187.02,10448.41,18.30146405,3.790050352
0,CAFE,0,9,1684.21,7639.84,13.22705711,4.240926512
0,CC5E,0,8,928.97,7289.22,7.646661783,3.951040029
0,CD3E,2,4,283.03,7639.84,2.222795242,1.884856227
0,CDCE,2,8,1027.5,7289.22,8.457695062,3.951040029
0,CE6E,2,3,487.6,3634.83,8.048794579,2.971253126
0,CE9E,5,8,639.92,7289.22,5.267394865,3.951040029
0,CFFE,0,7,1301.73,6688.05,11.67811245,3.767914415
0,D4FE,0,10,1424.2,7025.62,12.16291231,5.124102926
0,E4AE,6,8,1312.5,8945.22,8.803584484,3.219596611
0,E69E,9,10,1143.41,8945.22,7.669414503,4.024495764
0,EACE,4,10,1971.5,7639.84,15.48330855,4.712140568
0,EB5E,1,1,487.68,3613.42,8.097813152,0.996286067
0,EBAE,3,7,585.89,7025.62,5.003601106,3.586872048
0,EC6E,7,12,1356.28,7289.22,11.16399286,5.926560043
0,EE5E,3,2,349.27,3886.5,5.392049402,1.852566577
0,EEAE,7,6,406.91,7639.84,3.195695198,2.827284341
0,EF3E,5,4,1294.05,7025.62,11.05140899,2.04964117
0,EFCE,7,9,1606.59,7025.62,13.7205542,4.611692634
0,F05E,4,6,537.19,7287.94,4.422566596,2.96380047
0,F0AE,6,4,1735.49,7287.94,14.28790577,1.97586698
0,F1CE,1,5,958.8,3600.52,15.97769211,4.999277882
0,F26E,3,6,1175.12,6370.5,11.06776548,3.390628679
0,F29E,8,7,50.06,7287.94,0.412132921,3.457767215
0,F3FE,2,4,1373.82,6688.05,12.32484805,2.153093951
0,F4CE,5,3,933.13,6370.5,8.78860372,1.69531434
0,F5AE,4,2,91.92,6688.05,0.824634983,1.076546976
0,F76E,3,1,530.98,3285.64,9.696375744,1.095676946
0,F86E,7,3,499.36,6688.05,4.479870814,1.614820463
1,873,0,53,4252.833333,14400,17.72013889,13.25
1,0E7E,0,2,1117.44,9341.68,7.177124457,0.77073931
1,0F3E,0,8,1491.76,7633.11,11.72596753,3.773036154
1,0F6E,0,14,761.88,5581.84,8.189557565,9.029280667
1,0F9E,1,6,493.53,5581.84,5.305024866,3.869691715
1,8033,0,63,6787.7,14400,28.28208333,15.75
1,80C3,0,96,10581.7,14400,44.09041667,24
1,8153,0,123,8864.2,14400,36.93416667,30.75
1,81A3,0,51,5245.266667,14400,21.85527778,12.75
1,84A3,0,83,7308.633333,14400,30.45263889,20.75
1,85C3,0,168,8094.2,14400,33.72583333,42
1,8663,0,34,3159.7,14400,13.16541667,8.5
1,8693,0,135,8456.033333,14400,35.23347222,33.75
1,87F3,0,39,2847.133333,7200,23.72611111,19.5
1,A5F3,0,29,2681.133333,7200,22.34277778,14.5
1,A7C3,0,47,2885.4,14400,12.0225,11.75
1,C23E,1,10,1313.63,9341.68,8.437219001,3.853696551
1,C5FE,2,10,2127.29,9341.68,13.66321689,3.853696551
1,CAFE,0,16,2519.41,9487.55,15.9329437,6.07111425
1,CC5E,0,18,2279.37,10550.99,12.96202536,6.141603774
1,CD3E,1,8,1293,9487.55,8.177032005,3.035557125
1,CDCE,1,8,1892.18,10550.99,10.76020354,2.729601677
1,CE6E,2,8,831.24,10550.99,4.726987704,2.729601677
1,CE9E,3,8,252.86,10550.99,1.437931417,2.729601677
1,CFFE,0,9,1190.65,11125.98,6.420917528,2.912103024
1,D4FE,0,9,702.34,3894.73,10.81985144,8.318933533
1,E4AE,5,6,697.22,9341.68,4.478123849,2.312217931
1,E69E,6,10,601.22,9341.68,3.861532401,3.853696551
1,EACE,2,4,844.1,9487.55,5.338153686,1.517778562
1,EB5E,1,4,927.47,3894.73,14.28807645,3.697303793
1,EBAE,2,3,246.96,3894.73,3.804525603,2.772977844
1,EC6E,4,13,1784.51,10550.99,10.14791977,4.435602725
1,EE5E,3,11,1072.55,9487.55,6.782889155,4.173891047
1,EEAE,4,5,311.53,9487.55,1.970139815,1.897223203
1,EF3E,3,6,316.78,3894.73,4.880132898,5.545955689
1,EFCE,4,6,515.6,3894.73,7.943040981,5.545955689
1,F05E,2,7,598.92,5581.84,6.437877116,4.514640334
1,F0AE,3,6,428.15,5581.84,4.602245854,3.869691715
1,F1CE,1,2,454.12,7633.11,3.569606622,0.943259039
1,F26E,2,12,850.63,7633.11,6.6863703,5.659554231
1,F29E,4,4,27.31,5581.84,0.293559113,2.579794476
1,F3FE,2,4,693.84,11125.98,3.741728818,1.294268011
1,F4CE,4,8,2294.36,7633.11,18.0347984,3.773036154
1,F5AE,4,7,838.42,11125.98,4.521417439,2.264969018
1,F76E,6,12,1670.59,11125.98,9.009129982,3.882804032
1,F86E,8,12,1285.29,11125.98,6.931290547,3.882804032
