,alpha,thr_flee,beta_high,delta_noise
0,1.78,0.71,1.44,5.60
1,1.74,0.71,1.44,5.40
2,1.82,0.69,1.42,5.40
3,1.66,0.75,1.46,5.80
4,1.70,0.73,1.44,5.60
5,1.80,0.67,1.40,5.00
6,1.60,0.81,1.50,6.60
7,1.64,0.81,1.50,6.80
8,1.70,0.73,1.46,5.60
9,1.82,0.69,1.44,5.40
10,1.66,0.75,1.48,5.80
11,1.70,0.75,1.46,6.00
12,1.82,0.71,1.44,5.80
13,1.86,0.67,1.40,5.20
14,1.76,0.69,1.42,5.20
15,1.58,0.75,1.50,5.40
16,1.74,0.75,1.46,6.20
17,1.52,0.85,1.54,6.80
18,1.72,0.75,1.48,6.00
19,1.68,0.71,1.44,5.20
20,1.84,0.67,1.40,5.20
21,1.54,0.85,1.54,7.00
22,1.72,0.69,1.42,5.00
23,1.78,0.71,1.42,5.60
24,1.66,0.75,1.44,5.80
25,1.80,0.67,1.42,5.00
26,1.64,0.81,1.52,6.80
27,1.56,0.77,1.52,5.60
28,1.50,0.81,1.54,6.00
29,1.78,0.71,1.46,5.60
30,1.72,0.71,1.44,5.40
31,1.72,0.73,1.44,5.80
32,1.86,0.67,1.42,5.20
33,1.66,0.77,1.46,6.20
34,1.68,0.71,1.46,5.20
35,1.60,0.81,1.48,6.60
36,1.58,0.75,1.48,5.40
37,1.90,0.71,1.42,6.20
38,1.56,0.85,1.54,7.00
39,1.52,0.85,1.52,6.80
40,1.54,0.83,1.52,6.60
41,1.66,0.77,1.48,6.20
42,1.68,0.77,1.48,6.20
43,1.68,0.73,1.44,5.60
44,1.62,0.77,1.48,6.00
45,1.74,0.71,1.46,5.40
46,1.60,0.81,1.52,6.60
47,1.64,0.81,1.48,6.80
48,1.68,0.79,1.50,6.60
49,1.60,0.77,1.52,5.80
50,1.58,0.83,1.52,6.80
51,1.54,0.85,1.52,7.00
52,1.72,0.69,1.44,5.00
53,1.66,0.79,1.48,6.60
54,1.62,0.79,1.48,6.40
55,1.78,0.73,1.44,6.00
56,1.60,0.77,1.50,5.80
57,1.64,0.73,1.46,5.40
58,1.74,0.71,1.42,5.40
59,1.62,0.77,1.46,6.00
60,1.70,0.73,1.48,5.60
61,1.54,0.75,1.48,5.20
62,1.72,0.75,1.46,6.00
63,1.88,0.69,1.44,5.60
64,1.88,0.69,1.42,5.60
65,1.54,0.77,1.50,5.60
66,1.60,0.73,1.46,5.20
67,1.56,0.85,1.56,7.00
68,1.50,0.85,1.52,6.80
69,1.56,0.83,1.52,6.80
70,1.60,0.77,1.48,5.80
71,1.80,0.69,1.42,5.40
72,1.58,0.75,1.46,5.40
73,1.86,0.69,1.42,5.60
74,1.64,0.71,1.44,5.00
75,1.74,0.75,1.44,6.20
76,1.70,0.77,1.48,6.40
77,1.56,0.79,1.52,6.00
78,1.76,0.69,1.44,5.20
79,1.52,0.79,1.52,5.80
80,1.62,0.75,1.48,5.60
81,1.82,0.71,1.42,5.80
82,1.64,0.73,1.48,5.40
83,1.84,0.67,1.42,5.20
84,1.72,0.77,1.48,6.40
85,1.52,0.85,1.56,6.80
86,1.50,0.85,1.50,6.80
87,1.56,0.77,1.50,5.60
88,1.66,0.79,1.50,6.60
89,1.72,0.69,1.46,5.00
90,1.76,0.71,1.44,5.60
91,1.74,0.71,1.48,5.40
92,1.68,0.75,1.48,5.80
93,1.70,0.75,1.44,6.00
94,1.82,0.71,1.46,5.80
95,1.76,0.71,1.42,5.60
96,1.78,0.67,1.40,5.00
97,1.74,0.73,1.46,5.80
98,1.68,0.71,1.42,5.20
99,1.66,0.73,1.46,5.40
