,d_8033_day1_explore,s_81A3_day1_explore,d_8033_day2_explore,s_81A3_day2_explore,d_8033_day3_explore,s_81A3_day3_explore,d_8033_day4_test,s_81A3_day4_test,d_8033_day5_test,s_81A3_day5_test,d_8033_day6_aftermath,s_81A3_day6_aftermath,d_8033_day7_aftermath,s_81A3_day7_aftermath
total,36184.0,94072.0,60296.0,56936.0,49616.0,38959.0,63723.0,38262.0,43723.0,31628.0,46960.0,40430.0,49225.0,47038.0
entri_times,12.0,9.0,12.0,22.0,13.0,13.0,15.0,13.0,16.0,13.0,13.0,10.0,19.0,15.0
mean_entri_duration,3015.3333333333335,10452.444444444445,5024.666666666667,2588.0,3816.6153846153848,2996.846153846154,4248.2,2943.230769230769,2732.6875,2432.923076923077,3612.3076923076924,4043.0,2590.7894736842104,3135.866666666667
risk_f_80,16560.0,30773.0,33444.0,39995.0,27561.0,24226.0,8627.0,18738.0,13519.0,20743.0,24216.0,30573.0,21013.0,32965.0
idx_risk_80,0.4576608445721866,0.32712177906284545,0.554663659280881,0.7024553885063931,0.5554861335053208,0.6218332092712852,0.13538282880592564,0.4897287125607652,0.3091965327173341,0.6558429239914,0.5156729131175468,0.7561958941380164,0.4268765871000508,0.7008163612398486
risk_f_90,13633.0,27785.0,23701.0,33195.0,25511.0,20455.0,7441.0,13318.0,12738.0,18105.0,22107.0,23472.0,19208.0,25480.0
idx_risk_90,0.376768737563564,0.29535887405391614,0.3930774844102428,0.5830230434171702,0.5141688165108029,0.5250391437151878,0.11677102459080708,0.34807380691025036,0.29133408046108455,0.572435816365246,0.4707623509369676,0.5805589908483799,0.3902082275266633,0.5416896976912283
risk_f_85,15724.0,29982.0,29970.0,37917.0,26870.0,22948.0,7900.0,16025.0,13108.0,19658.0,23303.0,29243.0,20349.0,31060.0
idx_risk_85,0.4345567101481318,0.3187133259630921,0.4970478970412631,0.6659582689335394,0.5415591744598517,0.5890294925434431,0.12397407529463458,0.4188228529611625,0.2997964458065549,0.6215378778297711,0.49623083475298124,0.7232995300519416,0.4133875063484002,0.6603171903567329
